epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.27231,1.97051,3.75472,1.8145,0.00276,0.90185,0.18904,0.088,0.92205,10.7649,0.7628,0.00012861,0.00012861,0.00012861
2,3.84774,1.72218,3.14321,1.483,0.00247,0.91667,0.35494,0.22577,0.74333,10.2765,0.58773,0.000266134,0.000266134,0.000266134
3,5.46165,1.61649,2.42164,1.40913,0.00319,0.91667,0.3672,0.23341,0.68624,9.70626,0.56124,0.000397999,0.000397999,0.000397999
4,6.98841,1.52151,2.09074,1.37349,0.04601,0.8,0.28728,0.14879,0.84211,9.67662,0.65368,0.000524206,0.000524206,0.000524206
5,8.52125,1.55,2.09088,1.30509,0.60382,0.1,0.18776,0.10844,0.96469,10.6327,0.76718,0.000644753,0.000644753,0.000644753
6,10.0115,1.6022,1.85979,1.33801,0.69902,0.14815,0.21409,0.10149,0.89871,11.0268,0.75238,0.000759642,0.000759642,0.000759642
7,11.4844,1.60379,2.03081,1.36608,0.69304,0.21099,0.39058,0.16976,0.89319,10.1367,0.7189,0.000868872,0.000868872,0.000868872
8,12.9773,1.62386,2.02526,1.43362,0.49072,0.62417,0.46773,0.21688,0.80223,10.7012,0.68573,0.000972443,0.000972443,0.000972443
9,14.4578,1.60129,1.90143,1.42035,0.35102,0.46481,0.42433,0.21952,0.89641,12.652,0.76005,0.00107036,0.00107036,0.00107036
10,15.9509,1.59054,1.8472,1.38128,0.604,0.48519,0.47798,0.20851,0.91432,9.53865,0.82697,0.00116261,0.00116261,0.00116261
11,17.4473,1.48613,1.91725,1.36754,0.39529,0.54463,0.40074,0.15364,0.99543,7.43437,0.93568,0.00114606,0.00114606,0.00114606
12,18.9621,1.50709,1.8069,1.32558,0.51755,0.68889,0.54581,0.18815,0.96322,8.2915,0.94411,0.00111776,0.00111776,0.00111776
13,20.4347,1.46751,1.69937,1.36292,0.45468,0.58356,0.47172,0.20038,0.94122,16.3302,0.90263,0.00108947,0.00108947,0.00108947
14,21.9833,1.49313,1.79766,1.37798,0.49046,0.50673,0.47621,0.1411,1.15821,53.1255,1.08393,0.00106118,0.00106118,0.00106118
15,23.5409,1.46043,1.69068,1.33055,0.48565,0.46857,0.4974,0.1921,1.06851,8.90216,0.90933,0.00103288,0.00103288,0.00103288
16,25.0494,1.45296,1.55513,1.2561,0.46411,0.55958,0.48372,0.21739,0.97257,23.3137,0.87967,0.00100459,0.00100459,0.00100459
17,26.5243,1.49063,1.71717,1.32566,0.67431,0.4463,0.50621,0.2254,0.97626,15.9786,0.89041,0.000976293,0.000976293,0.000976293
18,28.0665,1.5613,1.70163,1.36962,0.81636,0.31111,0.38498,0.18319,0.99961,11.9228,0.97524,0.000947999,0.000947999,0.000947999
19,29.5956,1.46391,1.67044,1.32009,0.91176,0.36111,0.50674,0.21753,1.02055,17.9023,1.01603,0.000919704,0.000919704,0.000919704
20,31.1389,1.47145,1.63707,1.36246,0.56063,0.67593,0.69488,0.34758,0.82716,7.24177,0.74686,0.00089141,0.00089141,0.00089141
21,32.6572,1.48238,1.51814,1.32005,0.61408,0.6618,0.69069,0.37364,0.8079,7.51565,0.7409,0.000863116,0.000863116,0.000863116
22,34.1745,1.42414,1.42521,1.29879,0.6237,0.59052,0.66842,0.41548,0.71897,8.58771,0.7314,0.000834822,0.000834822,0.000834822
23,35.6568,1.45818,1.4459,1.31137,0.52267,0.72593,0.66196,0.39032,0.77744,6.51681,0.76125,0.000806528,0.000806528,0.000806528
24,37.1373,1.41995,1.54508,1.28169,0.63107,0.58889,0.69444,0.37178,0.78705,6.50926,0.75559,0.000778233,0.000778233,0.000778233
25,38.6523,1.30307,1.5064,1.2534,0.77334,0.73333,0.73614,0.36691,0.8157,6.37416,0.7868,0.000749939,0.000749939,0.000749939
26,40.1311,1.31136,1.43944,1.23787,0.65988,0.72434,0.69687,0.39449,0.77382,7.07407,0.71701,0.000721645,0.000721645,0.000721645
27,41.7062,1.40126,1.39658,1.27144,0.73269,0.70641,0.69957,0.42233,0.764,6.8424,0.6999,0.000693351,0.000693351,0.000693351
28,43.3357,1.37818,1.45641,1.27655,0.70304,0.7568,0.74842,0.45739,0.76696,6.84481,0.69683,0.000665057,0.000665057,0.000665057
29,44.8975,1.35185,1.38167,1.26018,0.74062,0.70553,0.75158,0.459,0.81758,7.3609,0.6985,0.000636762,0.000636762,0.000636762
30,46.4354,1.2985,1.37095,1.26028,0.53285,0.82407,0.74151,0.43977,0.78406,6.26864,0.67949,0.000608468,0.000608468,0.000608468
31,47.9348,1.33372,1.36262,1.22889,0.48239,0.72609,0.72682,0.39863,0.7515,5.75435,0.68874,0.000580174,0.000580174,0.000580174
32,49.4257,1.29653,1.30112,1.24276,0.82615,0.54444,0.75919,0.4088,0.73144,5.12601,0.70326,0.00055188,0.00055188,0.00055188
33,50.8976,1.3057,1.32519,1.24298,0.59337,0.85431,0.82196,0.49127,0.72141,5.11825,0.67358,0.000523586,0.000523586,0.000523586
34,52.3781,1.24318,1.25978,1.20916,0.8877,0.7655,0.84951,0.48549,0.74087,5.33613,0.6651,0.000495291,0.000495291,0.000495291
35,53.839,1.22627,1.29246,1.24255,0.85875,0.77094,0.83796,0.46024,0.77398,5.32265,0.68655,0.000466997,0.000466997,0.000466997
36,55.3286,1.26844,1.29653,1.24366,0.78063,0.55305,0.68451,0.37384,0.78796,5.97546,0.68072,0.000438703,0.000438703,0.000438703
37,56.8037,1.25926,1.1996,1.20613,0.76767,0.56481,0.67024,0.3711,0.79318,5.3348,0.69717,0.000410409,0.000410409,0.000410409
38,58.2873,1.23728,1.21741,1.24186,0.6695,0.67275,0.70803,0.42479,0.74522,5.15113,0.70726,0.000382115,0.000382115,0.000382115
39,59.7565,1.22181,1.18674,1.2064,0.63966,0.69867,0.72039,0.43009,0.74204,5.06398,0.72916,0.00035382,0.00035382,0.00035382
40,61.3024,1.25563,1.21484,1.22776,0.70871,0.68425,0.71028,0.39634,0.78136,4.95196,0.75238,0.000325526,0.000325526,0.000325526
41,82.8802,1.22954,1.36057,1.2924,0.64519,0.79259,0.71052,0.40189,0.76642,4.89048,0.71362,0.000297232,0.000297232,0.000297232
42,84.4526,1.24213,1.35907,1.23467,0.75673,0.82593,0.76918,0.45249,0.77779,5.12864,0.68994,0.000268938,0.000268938,0.000268938
43,86.0029,1.20048,1.32783,1.24125,0.74677,0.7737,0.76957,0.45208,0.75402,5.30167,0.68081,0.000240644,0.000240644,0.000240644
44,87.5594,1.15058,1.22764,1.19731,0.73554,0.77579,0.78076,0.45703,0.75391,5.80205,0.68834,0.000212349,0.000212349,0.000212349
45,89.0917,1.15043,1.13357,1.19681,0.7888,0.69343,0.74504,0.44087,0.75051,6.90634,0.68923,0.000184055,0.000184055,0.000184055
46,90.6957,1.05985,1.1396,1.15897,0.76888,0.69444,0.72516,0.42498,0.76768,7.10797,0.70797,0.000155761,0.000155761,0.000155761
47,92.3188,1.07248,1.12392,1.16459,0.7592,0.68369,0.73288,0.43736,0.77422,7.01754,0.6982,0.000127467,0.000127467,0.000127467
48,93.963,1.08498,1.09727,1.17767,0.80987,0.73148,0.76774,0.44756,0.77722,6.6662,0.69922,9.91726e-05,9.91726e-05,9.91726e-05
49,95.6208,1.06532,1.09714,1.16375,0.81713,0.72733,0.78352,0.45592,0.77315,6.05493,0.68875,7.08784e-05,7.08784e-05,7.08784e-05
50,97.1788,1.07483,1.09034,1.17132,0.82354,0.73073,0.78834,0.4528,0.77028,5.57148,0.68719,4.25842e-05,4.25842e-05,4.25842e-05
