epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.34212,2.2066,3.94084,1.81205,0.00234,0.90556,0.01404,0.00705,1.74588,3.73953,1.55559,5.716e-05,5.716e-05,5.716e-05
2,2.32529,1.88588,3.74105,1.55642,0.00252,0.97222,0.07938,0.03917,1.86708,3.63818,1.53944,0.000126064,0.000126064,0.000126064
3,3.28899,1.67892,3.42035,1.4301,0.00248,0.93889,0.18949,0.09073,1.87834,3.51215,1.32136,0.000192138,0.000192138,0.000192138
4,4.22111,1.59273,2.79293,1.33952,0.00378,0.93889,0.2444,0.08217,1.79165,3.44192,1.33068,0.000255382,0.000255382,0.000255382
5,5.10943,1.64798,2.31358,1.36189,0.00496,0.93889,0.20411,0.08488,1.72391,3.28453,1.23149,0.000315798,0.000315798,0.000315798
6,6.02539,1.56,2.02512,1.25284,0.00431,0.90741,0.22677,0.07242,1.99614,3.30156,1.35959,0.000373383,0.000373383,0.000373383
7,6.97396,1.58519,1.88633,1.26245,0.04894,0.81481,0.31881,0.15818,1.87356,3.18912,1.34374,0.00042814,0.00042814,0.00042814
8,7.90225,1.58618,1.75019,1.26613,0.66357,0.20227,0.42101,0.185,1.67787,2.91959,1.23039,0.000480067,0.000480067,0.000480067
9,8.82195,1.42039,1.57971,1.20505,0.71072,0.03704,0.43793,0.23801,1.62675,3.12039,1.40907,0.000529164,0.000529164,0.000529164
10,9.74543,1.50786,1.69727,1.29386,0.69627,0.03704,0.47791,0.22087,1.62754,3.04792,1.40814,0.000575433,0.000575433,0.000575433
11,10.62,1.41704,1.51673,1.26462,0.77209,0.07407,0.56298,0.31485,1.50984,2.93825,1.38232,0.000618871,0.000618871,0.000618871
12,11.5754,1.56567,1.65,1.28302,0.70415,0.10741,0.58325,0.30553,1.55089,2.78447,1.42222,0.000659481,0.000659481,0.000659481
13,12.4462,1.47651,1.50415,1.22318,0.69207,0.41602,0.65304,0.36426,1.46552,2.43469,1.37366,0.000697261,0.000697261,0.000697261
14,13.3255,1.44324,1.48255,1.23825,0.62228,0.52407,0.69315,0.43932,1.38367,2.22136,1.28516,0.000732211,0.000732211,0.000732211
15,14.228,1.37032,1.42775,1.21701,0.64908,0.51445,0.72115,0.41871,1.54197,2.31388,1.3287,0.000764332,0.000764332,0.000764332
16,15.1067,1.46177,1.48803,1.23118,0.44146,0.21266,0.44888,0.22414,1.95903,2.82683,1.66189,0.000793624,0.000793624,0.000793624
17,15.9582,1.4684,1.5056,1.23298,0.39277,0.34868,0.42612,0.20979,1.92903,2.78791,1.67043,0.000820086,0.000820086,0.000820086
18,16.853,1.44229,1.41097,1.17471,0.58968,0.50926,0.40632,0.18769,1.88905,3.18892,1.67492,0.000843719,0.000843719,0.000843719
19,17.7386,1.45155,1.47539,1.23106,0.42661,0.61667,0.4676,0.23308,1.65754,3.05104,1.65898,0.000864522,0.000864522,0.000864522
20,18.6276,1.36624,1.33145,1.23557,0.66998,0.67778,0.59412,0.2888,1.47777,2.43942,1.49768,0.000882496,0.000882496,0.000882496
21,19.4922,1.49968,1.45614,1.30204,0.62155,0.62453,0.53228,0.22883,1.74397,2.70394,1.76312,0.000863116,0.000863116,0.000863116
22,20.4496,1.39835,1.37424,1.24405,0.49078,0.51829,0.39291,0.15508,2.01999,2.81485,1.87509,0.000834822,0.000834822,0.000834822
23,21.3303,1.43885,1.29413,1.2247,0.52231,0.39815,0.3237,0.1197,2.06209,3.04303,1.91923,0.000806528,0.000806528,0.000806528
24,22.2408,1.34736,1.3248,1.2376,0.63348,0.48148,0.42818,0.17309,1.62286,3.45343,1.5849,0.000778233,0.000778233,0.000778233
25,23.127,1.3118,1.34889,1.2214,0.70708,0.48148,0.45179,0.21702,1.63091,2.81579,1.60377,0.000749939,0.000749939,0.000749939
26,24.014,1.34904,1.21953,1.24423,0.68621,0.54308,0.5262,0.29444,1.48474,2.33271,1.53558,0.000721645,0.000721645,0.000721645
27,24.9354,1.28739,1.21106,1.19807,0.59863,0.48854,0.44264,0.21513,1.66664,2.32645,1.68394,0.000693351,0.000693351,0.000693351
