epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.2274,2.02179,3.0565,1.8313,0.50068,0.42037,0.40302,0.19341,0.70558,60.7891,0.74604,0.00012861,0.00012861,0.00012861
2,8.36873,1.71962,1.97851,1.46268,0.34502,0.58333,0.33662,0.11223,0.92569,36.2855,0.89846,0.000266134,0.000266134,0.000266134
3,12.3066,1.52437,1.87963,1.39132,0.02109,0.44815,0.0315,0.01403,0.96327,269.626,0.94525,0.000397999,0.000397999,0.000397999
4,16.2753,1.57988,1.86556,1.40314,0.25103,0.79074,0.1973,0.09378,0.78004,1164.1,0.89488,0.000524206,0.000524206,0.000524206
5,20.2666,1.59943,1.8923,1.46054,0.32556,0.3963,0.25594,0.10681,1.00529,68.4918,1.20825,0.000644753,0.000644753,0.000644753
6,24.3548,1.62476,1.7458,1.44312,0.32689,0.44074,0.2273,0.11978,0.92797,9.69149,1.13475,0.000759642,0.000759642,0.000759642
7,28.2731,1.64812,1.88047,1.48495,0.00464,0.18704,0.03197,0.01006,1.38029,1643.45,1.5274,0.000868872,0.000868872,0.000868872
8,32.141,1.69038,1.72671,1.51781,0.01344,0.40185,0.01305,0.00522,1.12311,3503.82,1.92745,0.000972443,0.000972443,0.000972443
9,36.016,1.79459,1.84658,1.569,0.0274,0.40926,0.01396,0.00562,1.16502,10522.6,4.82354,0.00107036,0.00107036,0.00107036
10,39.8996,1.67905,1.82567,1.49988,0.0001,0.05556,7e-05,4e-05,1.97011,8.59883e+06,4618.02,0.00116261,0.00116261,0.00116261
11,43.7432,1.64251,1.89435,1.44931,0.00153,0.42037,0.00128,0.00071,1.39307,5.94665e+06,216.708,0.00114606,0.00114606,0.00114606
12,47.6259,1.68109,1.81228,1.45467,0.16991,0.55378,0.08601,0.0371,1.1163,9050.49,5.20935,0.00111776,0.00111776,0.00111776
13,51.4793,1.57707,1.71456,1.44457,0.33584,0.39815,0.18091,0.07761,1.49396,197.561,3.5204,0.00108947,0.00108947,0.00108947
14,55.3414,1.61301,1.73428,1.45612,0.18258,0.50185,0.20095,0.1051,0.97998,424.294,1.09006,0.00106118,0.00106118,0.00106118
15,59.1441,1.57794,1.62417,1.41077,0.41568,0.49002,0.50758,0.24956,0.99808,35.575,1.09175,0.00103288,0.00103288,0.00103288
16,63.1239,1.50658,1.48097,1.3103,0.80297,0.50448,0.6306,0.29624,0.94041,8.1512,1.03226,0.00100459,0.00100459,0.00100459
17,67.1786,1.52785,1.46736,1.35303,0.52112,0.63902,0.55864,0.25732,0.83233,5.01441,0.99282,0.000976293,0.000976293,0.000976293
18,71.1628,1.49754,1.46605,1.3474,0.56398,0.6037,0.60018,0.30993,0.81729,13.3837,0.92321,0.000947999,0.000947999,0.000947999
19,75.2844,1.52702,1.46009,1.37119,0.46339,0.71261,0.65638,0.33695,0.81905,3.79697,1.00551,0.000919704,0.000919704,0.000919704
20,79.4568,1.5758,1.45721,1.44611,0.5518,0.48798,0.50749,0.29293,0.7678,10.6864,0.89915,0.00089141,0.00089141,0.00089141
21,83.3998,1.49438,1.40223,1.31985,0.461,0.45921,0.50738,0.26783,0.8459,5.78656,0.97459,0.000863116,0.000863116,0.000863116
22,87.4335,1.48702,1.42559,1.37591,0.48842,0.55556,0.58692,0.34032,0.7106,1.74202,0.83317,0.000834822,0.000834822,0.000834822
23,91.5353,1.50959,1.36123,1.3782,0.75459,0.59943,0.49641,0.27187,0.83722,7.71395,0.90339,0.000806528,0.000806528,0.000806528
24,95.4496,1.45684,1.35127,1.34053,0.45477,0.57316,0.59416,0.33523,0.84902,1.97155,0.98485,0.000778233,0.000778233,0.000778233
25,99.3561,1.44466,1.39798,1.32958,0.50235,0.67963,0.65776,0.37543,0.8058,2.75982,0.95596,0.000749939,0.000749939,0.000749939
26,103.407,1.46771,1.36327,1.3276,0.77081,0.59989,0.71197,0.38422,0.8412,1.72931,0.9727,0.000721645,0.000721645,0.000721645
27,107.41,1.45083,1.29575,1.33422,0.60934,0.75712,0.72137,0.43103,0.76199,1.61359,0.91289,0.000693351,0.000693351,0.000693351
28,111.407,1.46035,1.30793,1.34753,0.62557,0.77077,0.76322,0.46437,0.71753,1.87452,0.84057,0.000665057,0.000665057,0.000665057
29,115.418,1.40462,1.21798,1.30457,0.68721,0.77396,0.76599,0.47418,0.75693,1.83361,0.84527,0.000636762,0.000636762,0.000636762
30,119.467,1.35215,1.2032,1.26547,0.58807,0.74652,0.6937,0.36073,0.85616,2.39833,0.92202,0.000608468,0.000608468,0.000608468
31,123.332,1.35115,1.23503,1.26587,0.54303,0.77778,0.64439,0.31611,0.88818,2.38366,0.96127,0.000580174,0.000580174,0.000580174
32,127.316,1.34999,1.18432,1.27235,0.86672,0.66399,0.78792,0.4539,0.81313,1.3478,0.85756,0.00055188,0.00055188,0.00055188
33,131.313,1.3026,1.17334,1.27236,0.91011,0.58298,0.80083,0.46093,0.79189,1.30538,0.8446,0.000523586,0.000523586,0.000523586
34,135.317,1.30616,1.1943,1.25247,0.8431,0.67037,0.79751,0.41238,0.82186,1.58048,0.87246,0.000495291,0.000495291,0.000495291
35,139.271,1.32165,1.17332,1.3072,0.91191,0.71319,0.79428,0.42497,0.81189,2.86238,0.87003,0.000466997,0.000466997,0.000466997
36,143.229,1.35324,1.22687,1.29415,0.87815,0.75043,0.80687,0.44932,0.77687,1.52731,0.83831,0.000438703,0.000438703,0.000438703
37,147.106,1.29417,1.13007,1.21605,0.84481,0.74667,0.75426,0.44134,0.72912,21.1614,0.84237,0.000410409,0.000410409,0.000410409
38,151.054,1.28148,1.04844,1.2452,0.89319,0.67934,0.7311,0.46381,0.70175,10.944,0.82109,0.000382115,0.000382115,0.000382115
39,154.963,1.2392,1.05562,1.22945,0.78577,0.75,0.78224,0.4794,0.70166,3.49969,0.81938,0.00035382,0.00035382,0.00035382
40,158.985,1.29386,1.09566,1.24477,0.79949,0.77034,0.81068,0.52122,0.6709,1.98731,0.80295,0.000325526,0.000325526,0.000325526
41,182.777,1.24627,1.01294,1.29636,0.78705,0.72131,0.77635,0.50538,0.68374,3.00678,0.81608,0.000297232,0.000297232,0.000297232
42,186.722,1.24604,1.04822,1.26621,0.65233,0.46376,0.4871,0.31546,0.74853,93.8501,0.86282,0.000268938,0.000268938,0.000268938
43,190.701,1.24612,0.98675,1.26504,0.30751,0.75138,0.29703,0.14482,0.65694,1693.75,0.81671,0.000240644,0.000240644,0.000240644
44,194.699,1.23299,0.96516,1.24699,0.92642,0.80518,0.85714,0.57964,0.60113,1.17872,0.76863,0.000212349,0.000212349,0.000212349
45,198.788,1.15974,0.869,1.20817,0.89688,0.83333,0.89743,0.59086,0.60921,1.81082,0.77797,0.000184055,0.000184055,0.000184055
46,202.917,1.17138,0.89238,1.22886,0.92808,0.81238,0.90271,0.57288,0.6294,1.3918,0.79107,0.000155761,0.000155761,0.000155761
47,206.886,1.13997,0.87519,1.22957,0.89082,0.8226,0.90116,0.5759,0.62553,0.96556,0.7926,0.000127467,0.000127467,0.000127467
48,210.875,1.09251,0.84356,1.18332,0.90382,0.85581,0.89965,0.58344,0.63015,0.93507,0.79957,9.91726e-05,9.91726e-05,9.91726e-05
49,214.83,1.14978,0.82382,1.22342,0.87617,0.83333,0.8638,0.5796,0.61877,0.9437,0.79061,7.08784e-05,7.08784e-05,7.08784e-05
50,218.747,1.1072,0.808,1.19353,0.87308,0.83128,0.86948,0.59688,0.60361,0.92762,0.77519,4.25842e-05,4.25842e-05,4.25842e-05
