epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.49751,2.22179,3.68593,1.78584,0.15997,0.24074,0.14753,0.06276,1.00738,7.74362,0.84108,0.00012861,0.00012861,0.00012861
2,4.57617,1.78137,2.23195,1.4396,0.27354,0.5114,0.16425,0.06098,1.08067,233.047,0.88684,0.000266134,0.000266134,0.000266134
3,6.64091,1.60756,2.07157,1.36399,0.20052,0.36111,0.13302,0.0514,1.05943,9.1161,0.87095,0.000397999,0.000397999,0.000397999
4,8.6451,1.60887,1.83893,1.37052,0.34558,0.38148,0.2651,0.13822,0.99157,38.5508,0.78897,0.000524206,0.000524206,0.000524206
5,10.756,1.59514,1.85272,1.39011,0.39904,0.39018,0.27751,0.14136,1.11379,33.8335,1.0075,0.000644753,0.000644753,0.000644753
6,12.7914,1.58915,1.61944,1.36214,0.1732,0.31111,0.17134,0.08164,1.13491,31.7506,1.02573,0.000759642,0.000759642,0.000759642
7,14.7411,1.64048,1.80772,1.43748,0.35167,0.34511,0.2823,0.12896,1.19636,7.68142,1.1168,0.000868872,0.000868872,0.000868872
8,16.7276,1.6441,1.68407,1.42943,0.43574,0.58925,0.37415,0.21247,0.94749,1004.44,1.02643,0.000972443,0.000972443,0.000972443
9,18.715,1.66269,1.67931,1.45961,0.57771,0.48889,0.42761,0.20702,0.94711,11.0722,1.01485,0.00107036,0.00107036,0.00107036
10,20.7504,1.65016,1.6304,1.44605,0.27573,0.32407,0.21578,0.10499,0.98735,12.9678,1.14938,0.00116261,0.00116261,0.00116261
11,22.7644,1.54952,1.60141,1.39713,0.21119,0.63424,0.24075,0.09853,0.99987,26.7188,1.14352,0.00114606,0.00114606,0.00114606
12,24.799,1.58458,1.57292,1.40049,0.71843,0.46852,0.51579,0.23225,0.91184,17.3597,1.0161,0.00111776,0.00111776,0.00111776
13,26.8011,1.50785,1.46877,1.39717,0.31064,0.45753,0.32032,0.12535,0.97982,14.7979,1.02354,0.00108947,0.00108947,0.00108947
14,28.7613,1.56906,1.53869,1.43698,0.3327,0.4205,0.37107,0.18825,0.91051,20.4382,0.97403,0.00106118,0.00106118,0.00106118
15,30.7809,1.52314,1.46172,1.41621,0.42365,0.54064,0.49886,0.27348,0.78699,10.3846,0.8652,0.00103288,0.00103288,0.00103288
16,32.8131,1.45252,1.35011,1.29677,0.34283,0.48889,0.40017,0.2223,0.7652,5.62767,0.84946,0.00100459,0.00100459,0.00100459
17,34.8584,1.5139,1.5291,1.35815,0.5178,0.45741,0.40545,0.20905,0.82926,11.282,0.91661,0.000976293,0.000976293,0.000976293
18,36.8459,1.53472,1.50737,1.36113,0.52518,0.62535,0.57774,0.3033,0.81742,1.38053,0.87277,0.000947999,0.000947999,0.000947999
19,38.7637,1.47665,1.31333,1.29773,0.4631,0.63533,0.59118,0.32367,0.8404,3.71104,0.87028,0.000919704,0.000919704,0.000919704
20,40.6923,1.43933,1.34038,1.32437,0.69105,0.64374,0.68962,0.37348,0.76159,1.74433,0.81802,0.00089141,0.00089141,0.00089141
21,42.592,1.41784,1.26703,1.26652,0.68042,0.57778,0.68794,0.35158,0.7561,5.93938,0.77918,0.000863116,0.000863116,0.000863116
22,44.4731,1.37265,1.32978,1.25612,0.61355,0.62251,0.63192,0.36522,0.76579,5.4206,0.78033,0.000834822,0.000834822,0.000834822
23,46.3408,1.38302,1.2231,1.26706,0.78497,0.77773,0.80392,0.44067,0.81248,7.32904,0.8478,0.000806528,0.000806528,0.000806528
24,48.2577,1.37992,1.2689,1.26777,0.7672,0.60926,0.71683,0.37236,0.87372,6.46854,0.86863,0.000778233,0.000778233,0.000778233
25,50.1244,1.36585,1.29852,1.26878,0.56552,0.6601,0.68123,0.35765,0.8464,5.93592,0.87498,0.000749939,0.000749939,0.000749939
26,52.0258,1.35,1.27436,1.24276,0.76177,0.62332,0.67308,0.3313,0.87401,1.76676,0.85985,0.000721645,0.000721645,0.000721645
27,53.8956,1.38544,1.17317,1.26998,0.70686,0.64548,0.6926,0.38656,0.85774,1.78256,0.89381,0.000693351,0.000693351,0.000693351
28,55.8513,1.33529,1.20646,1.27341,0.73746,0.71111,0.73132,0.42464,0.77254,1.1669,0.8341,0.000665057,0.000665057,0.000665057
29,57.7335,1.37739,1.15519,1.26688,0.78853,0.74783,0.76402,0.4491,0.74612,1.21395,0.77756,0.000636762,0.000636762,0.000636762
30,59.6626,1.30241,1.15498,1.25459,0.56515,0.71836,0.73707,0.43308,0.78371,1.0138,0.81207,0.000608468,0.000608468,0.000608468
31,61.5302,1.30327,1.13155,1.21546,0.73956,0.7476,0.75375,0.41735,0.81239,0.89838,0.82317,0.000580174,0.000580174,0.000580174
32,63.4123,1.31507,1.0631,1.22042,0.7776,0.72255,0.75163,0.3846,0.88076,0.95307,0.83355,0.00055188,0.00055188,0.00055188
33,65.2865,1.31444,1.1661,1.2455,0.74373,0.85089,0.8133,0.40608,0.85089,1.2537,0.82238,0.000523586,0.000523586,0.000523586
34,67.2119,1.26646,1.10801,1.2167,0.63296,0.77778,0.75705,0.41821,0.76098,1.24752,0.79902,0.000495291,0.000495291,0.000495291
35,69.1469,1.29544,1.12784,1.26331,0.60056,0.77778,0.73614,0.43566,0.69906,1.15766,0.768,0.000466997,0.000466997,0.000466997
36,71.0581,1.31373,1.16517,1.23934,0.75305,0.73034,0.78761,0.47838,0.71795,0.85056,0.74414,0.000438703,0.000438703,0.000438703
37,73.0748,1.26687,1.0204,1.18914,0.71035,0.82889,0.81372,0.49555,0.73776,0.8402,0.75806,0.000410409,0.000410409,0.000410409
38,75.0622,1.22046,1.03748,1.18805,0.78225,0.85556,0.83825,0.46758,0.74529,0.9467,0.77886,0.000382115,0.000382115,0.000382115
39,77.0127,1.18758,0.99047,1.19215,0.72203,0.84091,0.81221,0.46892,0.72221,1.62756,0.77175,0.00035382,0.00035382,0.00035382
