epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.526,1.20902,1.62901,1.36207,0.67375,0.64507,0.70389,0.47361,1.02473,5.87307,1.2841,0.000475853,0.000475853,0.000475853
2,298.312,1.07612,1.35029,1.27798,0.79283,0.70641,0.79758,0.55057,1.05824,1.31072,1.26537,0.000920764,0.000920764,0.000920764
3,438.888,1.01522,1.25925,1.2396,0.74557,0.69649,0.78173,0.49961,1.17288,2.63771,1.28029,0.00133424,0.00133424,0.00133424
4,579.033,0.97584,1.19553,1.21862,0.78984,0.74667,0.84716,0.63531,0.84599,1.35899,1.09187,0.00128753,0.00128753,0.00128753
5,721.09,0.9272,1.12837,1.19374,0.82674,0.76687,0.87423,0.67514,0.78111,0.94885,1.05966,0.00124037,0.00124037,0.00124037
6,859.295,0.89595,1.08385,1.17812,0.8432,0.80271,0.90447,0.73833,0.67563,0.85896,0.99622,0.00119322,0.00119322,0.00119322
7,1004.42,0.86935,1.0555,1.16683,0.81225,0.72451,0.83613,0.6138,0.95973,3.08048,1.175,0.00114606,0.00114606,0.00114606
8,1151.59,0.85317,1.0265,1.15788,0.85996,0.76869,0.89615,0.72162,0.6785,1.68889,0.99834,0.0010989,0.0010989,0.0010989
9,1296.17,0.81999,0.98042,1.13792,0.84952,0.82489,0.91261,0.74412,0.69463,0.9914,1.04351,0.00105174,0.00105174,0.00105174
10,1439.01,0.80563,0.97159,1.13305,0.86854,0.81155,0.91644,0.77088,0.58218,0.6929,0.96537,0.00100459,0.00100459,0.00100459
11,1580.89,0.77946,0.93463,1.11971,0.86001,0.82294,0.91673,0.76336,0.65225,0.76361,1.03059,0.00095743,0.00095743,0.00095743
12,1722.88,0.76708,0.91719,1.11341,0.87593,0.8452,0.93622,0.81566,0.5372,1.12224,0.93606,0.000910273,0.000910273,0.000910273
13,1864.32,0.75688,0.91005,1.10781,0.88411,0.82923,0.93216,0.80306,0.54664,1.44941,0.95146,0.000863116,0.000863116,0.000863116
14,2006.33,0.74103,0.88039,1.09862,0.89458,0.84962,0.95007,0.83359,0.50239,0.5671,0.91393,0.000815959,0.000815959,0.000815959
15,2148.46,0.72269,0.8658,1.09334,0.89713,0.86566,0.95354,0.83447,0.50526,0.53384,0.92934,0.000768802,0.000768802,0.000768802
16,2290.12,0.71495,0.84886,1.08683,0.89423,0.85815,0.9484,0.83542,0.48989,0.94192,0.90315,0.000721645,0.000721645,0.000721645
17,2431.54,0.69816,0.83205,1.08213,0.88759,0.88407,0.95875,0.86184,0.44387,0.58965,0.88425,0.000674488,0.000674488,0.000674488
18,2573.88,0.68488,0.81571,1.07388,0.91408,0.87414,0.96046,0.8559,0.45927,0.50246,0.88719,0.000627331,0.000627331,0.000627331
19,2715.92,0.66871,0.79311,1.06588,0.9024,0.89099,0.96212,0.86437,0.44363,0.49509,0.89774,0.000580174,0.000580174,0.000580174
20,2857.8,0.66958,0.78855,1.06797,0.91418,0.8864,0.96492,0.88034,0.40658,0.54281,0.86491,0.000533017,0.000533017,0.000533017
21,3024.82,0.56977,0.60062,1.04133,0.90509,0.88946,0.96487,0.88469,0.38912,0.44702,0.86277,0.00048586,0.00048586,0.00048586
22,3164.66,0.54885,0.57232,1.03089,0.92125,0.89741,0.96934,0.89332,0.3821,0.43084,0.85781,0.000438703,0.000438703,0.000438703
23,3305.22,0.52901,0.54841,1.01774,0.92189,0.90361,0.97214,0.90113,0.37158,0.40594,0.85425,0.000391546,0.000391546,0.000391546
24,3444.63,0.51586,0.53201,1.01458,0.92223,0.90744,0.97188,0.90465,0.36077,0.39637,0.8502,0.000344389,0.000344389,0.000344389
25,3584.32,0.50007,0.5087,1.00552,0.90899,0.91866,0.97309,0.9115,0.34859,0.38595,0.83673,0.000297232,0.000297232,0.000297232
26,3724.05,0.48011,0.49144,0.99678,0.92869,0.90876,0.97519,0.91529,0.34044,0.37204,0.83447,0.000250075,0.000250075,0.000250075
27,3864.77,0.46281,0.46543,0.98964,0.92666,0.91671,0.97571,0.91897,0.33272,0.3607,0.83625,0.000202918,0.000202918,0.000202918
28,4004.77,0.44701,0.45278,0.97839,0.93535,0.91387,0.97643,0.92054,0.33029,0.35632,0.83101,0.000155761,0.000155761,0.000155761
29,4145.58,0.43737,0.44005,0.97651,0.93182,0.91655,0.97687,0.924,0.32341,0.35168,0.8261,0.000108604,0.000108604,0.000108604
30,4285.96,0.42148,0.42868,0.96554,0.92125,0.9291,0.97742,0.92495,0.31946,0.34488,0.82561,6.1447e-05,6.1447e-05,6.1447e-05
